date,irrigated,rainfeed,seed_type
January 1 - 15,5936.35,3497.46,Tagged Seeds (FS/ RS/CS)
January 16 - 31,9470.72,8729.31,Tagged Seeds (FS/ RS/CS)
February 1 - 15,11449.89,7360.98,Tagged Seeds (FS/ RS/CS)
February 16 - 28,7751.25,15641.06,Tagged Seeds (FS/ RS/CS)
March 1 - 15,2349.86,6270.09,Tagged Seeds (FS/ RS/CS)
March 16 - 31,1537.64,6072.25,Tagged Seeds (FS/ RS/CS)
April 1 - 15,4397.48,4228.57,Tagged Seeds (FS/ RS/CS)
April 16 - 30,5893.88,5090.34,Tagged Seeds (FS/ RS/CS)
May 1 - 15,5651.48,3031.04,Tagged Seeds (FS/ RS/CS)
May 16 - 31,5763.26,1823.96,Tagged Seeds (FS/ RS/CS)
June 1 - 15,1085.20,117.05,Tagged Seeds (FS/ RS/CS)
June 16 - 30,1466.48,470.47,Tagged Seeds (FS/ RS/CS)
July 1 - 15,265.70,12559.81,Tagged Seeds (FS/ RS/CS)
July 16 - 31,124.95,90.00,Tagged Seeds (FS/ RS/CS)
August 1 - 15,1790.93,2315.46,Tagged Seeds (FS/ RS/CS)
August 16 - 31,12121.65,11249.12,Tagged Seeds (FS/ RS/CS)
September 1 - 15,35456.03,40175.09,Tagged Seeds (FS/ RS/CS)
September 16 - 30,47262.05,77923.02,Tagged Seeds (FS/ RS/CS)
October 1 - 15,33313.16,42339.66,Tagged Seeds (FS/ RS/CS)
October 16 - 31,10263.30,24103.37,Tagged Seeds (FS/ RS/CS)
November 1 - 15,5100.86,10511.83,Tagged Seeds (FS/ RS/CS)
November 16 - 30,1784.23,2959.65,Tagged Seeds (FS/ RS/CS)
December 1 - 15,3355.86,5510.50,Tagged Seeds (FS/ RS/CS)
December 16 - 31,7163.05,9365.37,Tagged Seeds (FS/ RS/CS)
January 1 - 15,4433.32,9264.32,Good Seeds from Tagged FS/RS by Seed Growers
January 16 - 31,5150.73,16840.54,Good Seeds from Tagged FS/RS by Seed Growers
February 1 - 15,2066.57,8940.54,Good Seeds from Tagged FS/RS by Seed Growers
